_id,workPid,dataPid
0.2.GRO0022.40.III,https://www.museabrugge.be/collection/work/id/0_2_GRO0022_40_III,https://www.museabrugge.be/collection/work/data/0_2_GRO0022_40_III
0.2.GRO0022.41.III,https://www.museabrugge.be/collection/work/id/0_2_GRO0022_41_III,https://www.museabrugge.be/collection/work/data/0_2_GRO0022_41_III
0.2.GRO0022.42.III,https://www.museabrugge.be/collection/work/id/0_2_GRO0022_42_III,https://www.museabrugge.be/collection/work/data/0_2_GRO0022_42_III
0.2.GRO0022.43.III,https://www.museabrugge.be/collection/work/id/0_2_GRO0022_43_III,https://www.museabrugge.be/collection/work/data/0_2_GRO0022_43_III
0.2.GRO0022.44.III,https://www.museabrugge.be/collection/work/id/0_2_GRO0022_44_III,https://www.museabrugge.be/collection/work/data/0_2_GRO0022_44_III
0.2.GRO0022.45.III,https://www.museabrugge.be/collection/work/id/0_2_GRO0022_45_III,https://www.museabrugge.be/collection/work/data/0_2_GRO0022_45_III
0.2.GRO0022.46.III,https://www.museabrugge.be/collection/work/id/0_2_GRO0022_46_III,https://www.museabrugge.be/collection/work/data/0_2_GRO0022_46_III
0.2.GRO0022.47.III,https://www.museabrugge.be/collection/work/id/0_2_GRO0022_47_III,https://www.museabrugge.be/collection/work/data/0_2_GRO0022_47_III
0.2.GRO0022.48.III,https://www.museabrugge.be/collection/work/id/0_2_GRO0022_48_III,https://www.museabrugge.be/collection/work/data/0_2_GRO0022_48_III
0.2.GRO0022.49.III,https://www.museabrugge.be/collection/work/id/0_2_GRO0022_49_III,https://www.museabrugge.be/collection/work/data/0_2_GRO0022_49_III
0.2.GRO0022.50.III,https://www.museabrugge.be/collection/work/id/0_2_GRO0022_50_III,https://www.museabrugge.be/collection/work/data/0_2_GRO0022_50_III
0.2.GRO0022.51.III,https://www.museabrugge.be/collection/work/id/0_2_GRO0022_51_III,https://www.museabrugge.be/collection/work/data/0_2_GRO0022_51_III
0.2.GRO0022.52.III,https://www.museabrugge.be/collection/work/id/0_2_GRO0022_52_III,https://www.museabrugge.be/collection/work/data/0_2_GRO0022_52_III
0.2.GRO0022.53.III,https://www.museabrugge.be/collection/work/id/0_2_GRO0022_53_III,https://www.museabrugge.be/collection/work/data/0_2_GRO0022_53_III
0.2.GRO0022.54.III,https://www.museabrugge.be/collection/work/id/0_2_GRO0022_54_III,https://www.museabrugge.be/collection/work/data/0_2_GRO0022_54_III
0.2.GRO0022.55.III,https://www.museabrugge.be/collection/work/id/0_2_GRO0022_55_III,https://www.museabrugge.be/collection/work/data/0_2_GRO0022_55_III
0.2.GRO0022.56.III,https://www.museabrugge.be/collection/work/id/0_2_GRO0022_56_III,https://www.museabrugge.be/collection/work/data/0_2_GRO0022_56_III
0.2.GRO0022.57.III,https://www.museabrugge.be/collection/work/id/0_2_GRO0022_57_III,https://www.museabrugge.be/collection/work/data/0_2_GRO0022_57_III
0.2.GRO0022.58.III,https://www.museabrugge.be/collection/work/id/0_2_GRO0022_58_III,https://www.museabrugge.be/collection/work/data/0_2_GRO0022_58_III
0.2.GRO0022.59.III,https://www.museabrugge.be/collection/work/id/0_2_GRO0022_59_III,https://www.museabrugge.be/collection/work/data/0_2_GRO0022_59_III
0.2.GRO0022.60.III,https://www.museabrugge.be/collection/work/id/0_2_GRO0022_60_III,https://www.museabrugge.be/collection/work/data/0_2_GRO0022_60_III
0.2.GRO0022.61.III,https://www.museabrugge.be/collection/work/id/0_2_GRO0022_61_III,https://www.museabrugge.be/collection/work/data/0_2_GRO0022_61_III
0.2.GRO0022.62.III,https://www.museabrugge.be/collection/work/id/0_2_GRO0022_62_III,https://www.museabrugge.be/collection/work/data/0_2_GRO0022_62_III
0.2.GRO0022.63.III,https://www.museabrugge.be/collection/work/id/0_2_GRO0022_63_III,https://www.museabrugge.be/collection/work/data/0_2_GRO0022_63_III
0.2.GRO0022.64.III,https://www.museabrugge.be/collection/work/id/0_2_GRO0022_64_III,https://www.museabrugge.be/collection/work/data/0_2_GRO0022_64_III
0.2.GRO0022.65.III,https://www.museabrugge.be/collection/work/id/0_2_GRO0022_65_III,https://www.museabrugge.be/collection/work/data/0_2_GRO0022_65_III
0.2.GRO0022.66.III,https://www.museabrugge.be/collection/work/id/0_2_GRO0022_66_III,https://www.museabrugge.be/collection/work/data/0_2_GRO0022_66_III
0.2.GRO0022.67.III,https://www.museabrugge.be/collection/work/id/0_2_GRO0022_67_III,https://www.museabrugge.be/collection/work/data/0_2_GRO0022_67_III
0.2.GRO0022.68.III,https://www.museabrugge.be/collection/work/id/0_2_GRO0022_68_III,https://www.museabrugge.be/collection/work/data/0_2_GRO0022_68_III
0.2.GRO0022.69.III,https://www.museabrugge.be/collection/work/id/0_2_GRO0022_69_III,https://www.museabrugge.be/collection/work/data/0_2_GRO0022_69_III
0.2.GRO0022.70.III,https://www.museabrugge.be/collection/work/id/0_2_GRO0022_70_III,https://www.museabrugge.be/collection/work/data/0_2_GRO0022_70_III
0.2.GRO0022.71.III,https://www.museabrugge.be/collection/work/id/0_2_GRO0022_71_III,https://www.museabrugge.be/collection/work/data/0_2_GRO0022_71_III
0.2.GRO0100.5.III,https://www.museabrugge.be/collection/work/id/0_2_GRO0100_5_III,https://www.museabrugge.be/collection/work/data/0_2_GRO0100_5_III
0.2.GRO0100.6.III,https://www.museabrugge.be/collection/work/id/0_2_GRO0100_6_III,https://www.museabrugge.be/collection/work/data/0_2_GRO0100_6_III
0.S0006.XXI,https://www.museabrugge.be/collection/work/id/0_S0006_XXI,https://www.museabrugge.be/collection/work/data/0_S0006_XXI
0.S0011.XI,https://www.museabrugge.be/collection/work/id/0_S0011_XI,https://www.museabrugge.be/collection/work/data/0_S0011_XI
0.S0011.XXVIII,https://www.museabrugge.be/collection/work/id/0_S0011_XXVIII,https://www.museabrugge.be/collection/work/data/0_S0011_XXVIII
0.S0014.VIII,https://www.museabrugge.be/collection/work/id/0_S0014_VIII,https://www.museabrugge.be/collection/work/data/0_S0014_VIII
0.S0027.VIII,https://www.museabrugge.be/collection/work/id/0_S0027_VIII,https://www.museabrugge.be/collection/work/data/0_S0027_VIII
0.S0179.XI,https://www.museabrugge.be/collection/work/id/0_S0179_XI,https://www.museabrugge.be/collection/work/data/0_S0179_XI
0.S0179a.XI,https://www.museabrugge.be/collection/work/id/0_S0179a_XI,https://www.museabrugge.be/collection/work/data/0_S0179a_XI
0.S0179b.XI,https://www.museabrugge.be/collection/work/id/0_S0179b_XI,https://www.museabrugge.be/collection/work/data/0_S0179b_XI
0.S0190.XI,https://www.museabrugge.be/collection/work/id/0_S0190_XI,https://www.museabrugge.be/collection/work/data/0_S0190_XI
0.S0193.XI,https://www.museabrugge.be/collection/work/id/0_S0193_XI,https://www.museabrugge.be/collection/work/data/0_S0193_XI
0.S0203.XI,https://www.museabrugge.be/collection/work/id/0_S0203_XI,https://www.museabrugge.be/collection/work/data/0_S0203_XI
0.S0204.XI,https://www.museabrugge.be/collection/work/id/0_S0204_XI,https://www.museabrugge.be/collection/work/data/0_S0204_XI
0.S0244.XXII,https://www.museabrugge.be/collection/work/id/0_S0244_XXII,https://www.museabrugge.be/collection/work/data/0_S0244_XXII
0.S0289a.VII,https://www.museabrugge.be/collection/work/id/0_S0289a_VII,https://www.museabrugge.be/collection/work/data/0_S0289a_VII
0.S0289b.VII,https://www.museabrugge.be/collection/work/id/0_S0289b_VII,https://www.museabrugge.be/collection/work/data/0_S0289b_VII
0.S0289d.VII,https://www.museabrugge.be/collection/work/id/0_S0289d_VII,https://www.museabrugge.be/collection/work/data/0_S0289d_VII
0.S0289g.VII,https://www.museabrugge.be/collection/work/id/0_S0289g_VII,https://www.museabrugge.be/collection/work/data/0_S0289g_VII
0.S0289i.VII,https://www.museabrugge.be/collection/work/id/0_S0289i_VII,https://www.museabrugge.be/collection/work/data/0_S0289i_VII
0.S0289j.VII,https://www.museabrugge.be/collection/work/id/0_S0289j_VII,https://www.museabrugge.be/collection/work/data/0_S0289j_VII
0.S0304.XVII,https://www.museabrugge.be/collection/work/id/0_S0304_XVII,https://www.museabrugge.be/collection/work/data/0_S0304_XVII
0.S0306.V.X,https://www.museabrugge.be/collection/work/id/0_S0306_V_X,https://www.museabrugge.be/collection/work/data/0_S0306_V_X
0.S0307.XI,https://www.museabrugge.be/collection/work/id/0_S0307_XI,https://www.museabrugge.be/collection/work/data/0_S0307_XI
0.S0307a.XI,https://www.museabrugge.be/collection/work/id/0_S0307a_XI,https://www.museabrugge.be/collection/work/data/0_S0307a_XI
0.S0307b.XI,https://www.museabrugge.be/collection/work/id/0_S0307b_XI,https://www.museabrugge.be/collection/work/data/0_S0307b_XI
0.S0309.XXVI,https://www.museabrugge.be/collection/work/id/0_S0309_XXVI,https://www.museabrugge.be/collection/work/data/0_S0309_XXVI
