_id,workPid,dataPid
1914-AL,https://mskgent.be/collection/work/id/1914-AL,https://mskgent.be/collection/work/data/1914-AL
1949-BA-2,https://mskgent.be/collection/work/id/1949-BA-2,https://mskgent.be/collection/work/data/1949-BA-2
1937-AQ-1,https://mskgent.be/collection/work/id/1937-AQ-1,https://mskgent.be/collection/work/data/1937-AQ-1
1941-O,https://mskgent.be/collection/work/id/1941-O,https://mskgent.be/collection/work/data/1941-O
2009-AN,https://mskgent.be/collection/work/id/2009-AN,https://mskgent.be/collection/work/data/2009-AN
1991-G,https://mskgent.be/collection/work/id/1991-G,https://mskgent.be/collection/work/data/1991-G
1902-Y,https://mskgent.be/collection/work/id/1902-Y,https://mskgent.be/collection/work/data/1902-Y
1949-AU-5-recto,https://mskgent.be/collection/work/id/1949-AU-5-recto,https://mskgent.be/collection/work/data/1949-AU-5-recto
1935-V,https://mskgent.be/collection/work/id/1935-V,https://mskgent.be/collection/work/data/1935-V
1969-O,https://mskgent.be/collection/work/id/1969-O,https://mskgent.be/collection/work/data/1969-O
1952-AR-1,https://mskgent.be/collection/work/id/1952-AR-1,https://mskgent.be/collection/work/data/1952-AR-1
1923-L-6,https://mskgent.be/collection/work/id/1923-L-6,https://mskgent.be/collection/work/data/1923-L-6
1957-W-5,https://mskgent.be/collection/work/id/1957-W-5,https://mskgent.be/collection/work/data/1957-W-5
1958-V-4,https://mskgent.be/collection/work/id/1958-V-4,https://mskgent.be/collection/work/data/1958-V-4
1904-JJ,https://mskgent.be/collection/work/id/1904-JJ,https://mskgent.be/collection/work/data/1904-JJ
1914-DF,https://mskgent.be/collection/work/id/1914-DF,https://mskgent.be/collection/work/data/1914-DF
1978-N-6,https://mskgent.be/collection/work/id/1978-N-6,https://mskgent.be/collection/work/data/1978-N-6
1997-E,https://mskgent.be/collection/work/id/1997-E,https://mskgent.be/collection/work/data/1997-E
1935-BF,https://mskgent.be/collection/work/id/1935-BF,https://mskgent.be/collection/work/data/1935-BF
1949-AZ-19-1,https://mskgent.be/collection/work/id/1949-AZ-19-1,https://mskgent.be/collection/work/data/1949-AZ-19-1
1949-AL-83,https://mskgent.be/collection/work/id/1949-AL-83,https://mskgent.be/collection/work/data/1949-AL-83
1911-G,https://mskgent.be/collection/work/id/1911-G,https://mskgent.be/collection/work/data/1911-G
1979-L,https://mskgent.be/collection/work/id/1979-L,https://mskgent.be/collection/work/data/1979-L
1961-G,https://mskgent.be/collection/work/id/1961-G,https://mskgent.be/collection/work/data/1961-G
1911-EF,https://mskgent.be/collection/work/id/1911-EF,https://mskgent.be/collection/work/data/1911-EF
1938-I,https://mskgent.be/collection/work/id/1938-I,https://mskgent.be/collection/work/data/1938-I
2015-LN,https://mskgent.be/collection/work/id/2015-LN,https://mskgent.be/collection/work/data/2015-LN
